time,user_name,user_color,message
2,rizzo04,#FF00F3,"WHEYYY"
4,rizzo04,#FF00F3,"FIRST"
11,sofiyeg,#8A2BE2,"FINALLY"
12,nevo1st,#1E90FF,"WAYYYYYYY"
14,thetasigma01,#1E90FF,"ThetaSigma01 is gifting 1 Tier 1 Subs to nevo1st's community! They've gifted a total of 118 in the channel! "
15,thetasigma01,#1E90FF,"ThetaSigma01 gifted a Tier 1 sub to Aventrall! "
15,rizzo04,#FF00F3,"SHE WAS A SHOW GIRL"
24,streamelements,#5B99FF,"nevo1st is now live! Streaming Minecraft: NEVNATION 5 STARTS TODAY"
25,born2shit_forced2wipe,#2E8B57,"Nooo I'm still pooing"
25,ma1va_,,"HI"
28,barnthelegend,,"RAHHH"
28,nevo1st,#1E90FF,"THANK YOU THETA"
32,nevo1st,#1E90FF,"@BarnTheLegend RAHHHHH]"
34,proestlive,#9ACD32,"oohhhh my lord its here"
36,thetasigma01,#1E90FF,"can we join now?"
37,guynamedpipe3,#2E8B57,"wow"
43,boommer69,#2E8B57,"FINALLY"
45,boommer69,#2E8B57,"HI EVERYONE"
46,rizzo04,#FF00F3,"ME SKIN ISNT WORKING WTF"
49,nevo1st,#1E90FF,"@ThetaSigma01 sure"
52,luxembourgz99,,"Mastermind stream when"
54,charlie59367,#1E90FF,"Poovo 1st"
63,conradwba,,"good evening"
67,barnthelegend,,"whats the IP?"
72,anastasiabvrhausen,#FF00E7,"Sorry mate you've taken so long I'm litch about to fall asleep"
74,nevo1st,#1E90FF,"nevo1st.apex.mc"
77,nevo1st,#1E90FF,"(i think)"
91,rizzo04,#FF00F3,"DOXXED MATE"
104,rizzo04,#FF00F3,"nevo1sNaeNae"
107,bartsimplton,#DAA520,"HIIII EVERYONEEE !!!!"
112,anastasiabvrhausen,#FF00E7,"WHATS YOUR PENIS LENGTH nevo1sSmile nevo1sSmile  nevo1sSmile nevo1sSmile"
112,smellysoggysock,#1E90FF,"Hi"
136,proestlive,#9ACD32,"@nevo1st it says unknown host for me"
